id,fullDate,year,month,day,time,descrip,district,nhood,address,street
1988,12jan2008,2008,1,12,1237,HOMICIDE,7,50,5738,TERRY AVE
2712,17jan2008,2008,1,17,400,HOMICIDE,7,48,5356,PAGE BLVD
3276,20jan2008,2008,1,20,2119,HOMICIDE,7,50,5826,ROOSEVELT PL
3400,21jan2008,2008,1,21,1738,HOMICIDE,1,16,3859,OHIO AVE
4689,30jan2008,2008,1,30,1534,HOMICIDE,8,0,4100,SAINT LOUIS AVE
4722,30jan2008,2008,1,30,1919,HOMICIDE,8,55,2418,N EUCLID AVE
5567,04feb2008,2008,2,4,1745,HOMICIDE,9,29,1646,S 39TH ST
6258,09feb2008,2008,2,9,1730,HOMICIDE,7,48,5617,ENRIGHT AVE
6295,09feb2008,2008,2,9,2259,HOMICIDE,6,71,5001,N KINGSHIGHWAY BLVD
6513,11feb2008,2008,2,11,2150,HOMICIDE,4,61,1500,CASS AVE
6634,12feb2008,2008,2,12,2224,HOMICIDE,4,36,1411,LOCUST ST
7203,16feb2008,2008,2,16,1651,HOMICIDE,8,55,4769,NORTHLAND AVE
7890,21feb2008,2008,2,21,2035,HOMICIDE,7,50,5889,LOTUS AVE
7929,22feb2008,2008,2,22,1044,HOMICIDE,6,68,4104,W LEE AVE
8064,23feb2008,2008,2,23,602,HOMICIDE,6,73,8527,TARA LN
8323,25feb2008,2008,2,25,1140,HOMICIDE,1,16,4734,S GRAND BLVD
8390,25feb2008,2008,2,25,2011,HOMICIDE,7,52,5241,LOTUS AVE
8391,25feb2008,2008,2,25,2025,HOMICIDE,6,71,4986,ROSALIE ST
8566,27feb2008,2008,2,27,205,HOMICIDE,7,50,5865,LOTUS AVE
8833,28feb2008,2008,2,28,1934,HOMICIDE,6,70,5957,FERRIS AVE
9522,02mar2008,2008,3,2,1800,HOMICIDE,0,0,4428,VISTA AVE
10089,06mar2008,2008,3,6,2300,HOMICIDE,7,46,5726,WATERMAN BLVD
10123,07mar2008,2008,3,7,450,HOMICIDE,6,69,4448,FARLIN AVE
10576,10mar2008,2008,3,10,1,HOMICIDE,6,68,4462,CLARENCE AVE
10581,10mar2008,2008,3,10,45,HOMICIDE,3,19,3724,MINNESOTA AVE
